N,P,K,temperature,humidity,ph,rainfall,soil_moisture,label
75,48,51,27.5,86.9,6.6,226.4,80,sugarcane
87,40,55,20.4,85.8,6.0,248.3,69,rice
85,40,60,20.8,79.5,6.4,243.4,66,rice
45,46,49,29.7,59.3,6.1,109.9,28,millet
65,37,62,28.5,75.2,6.8,158.3,65,groundnut
39,48,52,30.9,50.8,6.1,100.5,32,millet
46,40,31,26.1,60.2,5.6,105.5,29,barley
60,47,46,26.1,67.4,6.7,125.4,37,wheat
95,56,51,21.4,83.9,6.4,232.5,79,rice
69,36,55,29.3,79.3,6.8,141.2,67,groundnut
53,40,35,25.9,60.9,6.1,107.6,27,barley
39,52,51,29.5,59.4,6.5,102.2,30,millet
65,37,61,25.8,78.7,6.9,160.9,62,groundnut
65,53,62,28.5,89.5,6.7,252.6,81,sugarcane
51,34,32,28.2,56.3,5.8,97.2,26,barley
67,38,63,26.9,72.7,6.6,152.3,57,groundnut
58,48,48,26.4,62.8,6.6,149.7,35,wheat
66,40,65,27.2,79.6,6.8,165.4,68,groundnut
85,57,35,25.3,69.8,6.9,187.2,46,maize
100,50,47,21.6,86.8,6.5,189.2,77,rice
70,35,63,29.2,79.3,6.9,170.3,59,groundnut
22,29,24,22.0,80.8,6.1,200.1,69,pulses
27,30,21,25.8,89.0,6.1,180.4,68,pulses
65,50,49,26.1,63.0,7.1,149.6,42,wheat
79,53,39,22.0,74.0,6.6,122.2,58,maize
86,53,43,25.5,75.4,6.7,140.4,56,maize
73,53,53,26.7,82.7,6.6,254.9,85,sugarcane
51,30,32,26.7,64.8,5.9,98.3,30,barley
68,50,46,27.4,62.3,6.8,110.1,43,wheat
60,50,48,23.8,68.9,7.1,126.0,36,wheat
75,35,57,28.1,79.7,7.0,179.3,56,groundnut
50,48,45,30.5,70.8,6.8,179.3,55,cotton
72,32,56,29.9,73.3,6.8,175.8,67,groundnut
65,42,55,27.9,73.5,6.4,214.2,75,sugarcane
26,30,29,23.0,85.8,5.9,200.9,70,pulses
94,50,54,24.4,85.7,6.4,195.8,61,rice
78,60,38,25.9,79.8,6.8,123.8,46,maize
51,46,47,30.6,71.8,6.8,154.0,64,cotton
44,51,51,32.0,50.7,6.3,80.1,33,millet
93,54,54,22.7,77.6,6.1,228.7,63,rice
47,39,39,26.8,59.3,5.7,86.0,35,barley
69,35,62,29.6,77.9,6.8,140.8,56,groundnut
51,47,47,29.8,72.8,6.2,177.7,53,cotton
48,30,36,27.7,62.4,5.9,88.6,33,barley
35,48,53,28.9,59.8,6.5,83.5,29,millet
72,30,61,25.8,74.5,6.8,151.8,59,groundnut
55,32,30,28.1,57.7,5.6,86.8,30,barley
52,48,46,27.8,69.7,6.5,128.3,62,cotton
28,30,30,24.4,82.0,5.8,240.9,65,pulses
46,38,34,26.2,61.9,5.7,92.7,32,barley
22,26,20,25.2,84.5,5.8,200.5,78,pulses
43,49,54,30.1,54.1,6.1,110.2,34,millet
74,37,62,27.6,71.8,6.7,154.7,70,groundnut
23,34,20,25.4,80.8,6.0,187.4,67,pulses
77,43,62,26.9,85.5,6.6,207.3,79,sugarcane
97,51,44,24.2,86.1,6.6,181.9,77,rice
74,49,58,26.2,70.2,6.7,200.9,81,sugarcane
47,35,38,25.7,60.4,5.6,95.7,32,barley
46,33,37,25.9,59.3,6.0,117.3,27,barley
73,36,64,25.2,70.0,7.0,149.7,69,groundnut
40,45,55,29.1,59.1,6.4,95.6,30,millet
47,33,38,29.0,61.3,6.0,85.7,29,barley
73,41,51,28.1,72.7,6.7,274.9,75,sugarcane
38,49,49,30.7,51.0,6.4,110.6,28,millet
87,53,55,21.7,79.0,6.2,185.3,67,rice
60,45,46,28.4,73.8,6.6,162.4,51,cotton
74,34,59,29.5,79.3,6.8,162.1,70,groundnut
59,49,45,28.9,74.1,6.7,126.4,64,cotton
51,40,37,27.8,63.6,5.8,84.3,25,barley
54,49,43,27.4,65.7,6.8,174.3,63,cotton
54,36,40,29.2,64.9,6.1,83.5,27,barley
36,53,45,28.5,57.8,6.5,96.6,26,millet
74,31,60,28.8,71.4,6.8,159.8,59,groundnut
99,47,51,22.6,76.9,6.1,181.2,70,rice
44,49,51,31.4,54.4,6.0,119.9,35,millet
35,52,55,29.1,54.8,6.4,107.0,27,millet
24,25,29,24.6,88.4,5.9,193.7,77,pulses
53,43,49,29.9,70.0,6.4,166.3,62,cotton
55,50,46,29.0,74.9,6.6,164.5,62,cotton
84,56,46,23.2,87.5,6.5,242.1,76,rice
81,52,43,22.2,77.1,6.4,180.5,68,rice
59,42,50,28.8,70.3,6.4,145.7,57,cotton
96,45,55,21.3,76.1,6.1,225.9,79,rice
83,50,53,21.4,85.7,6.2,220.5,71,rice
80,48,52,28.5,90.0,6.8,285.1,82,sugarcane
47,34,38,25.9,64.5,5.6,111.5,31,barley
54,41,46,28.0,69.0,6.7,136.8,61,cotton
30,33,29,23.1,90.0,5.5,210.4,79,pulses
69,49,57,26.3,89.4,6.5,227.0,79,sugarcane
70,37,59,25.6,75.7,6.6,141.6,58,groundnut
48,36,34,27.8,64.8,5.5,109.6,30,barley
50,37,39,25.2,63.9,6.2,89.4,31,barley
79,56,35,21.9,76.6,6.8,141.9,60,maize
67,57,44,26.5,67.0,7.2,103.9,39,wheat
83,46,52,23.4,85.8,6.5,201.9,67,rice
81,60,41,24.1,61.3,7.0,135.3,59,maize
35,47,50,29.5,59.4,6.1,98.8,25,millet
51,40,49,30.5,68.1,6.6,132.7,62,cotton
40,45,51,28.8,54.9,6.2,97.2,28,millet
71,55,54,27.4,70.4,6.5,270.8,77,sugarcane
80,51,43,21.0,64.5,6.6,164.0,50,maize
70,45,62,29.2,84.6,6.5,249.1,78,sugarcane
65,33,55,29.2,70.9,6.8,151.5,67,groundnut
40,52,53,28.7,50.7,6.1,98.6,34,millet
70,49,62,25.2,70.8,6.7,284.3,79,sugarcane
69,43,62,25.8,71.2,6.3,294.7,81,sugarcane
72,55,56,29.1,85.5,6.6,258.9,82,sugarcane
63,59,47,26.1,63.9,7.1,106.3,38,wheat
83,59,39,24.1,61.8,6.6,197.2,51,maize
83,60,54,24.3,77.2,6.6,209.9,60,rice
23,30,30,24.9,83.4,5.9,216.2,73,pulses
35,45,53,31.3,59.4,6.4,85.7,35,millet
70,32,62,25.4,75.3,6.6,142.3,60,groundnut
26,30,23,22.1,81.4,5.8,192.1,65,pulses
51,41,47,29.9,73.4,6.6,165.9,51,cotton
90,58,59,22.7,84.6,6.4,214.4,61,rice
46,30,33,27.9,63.6,5.9,97.8,32,barley
57,58,49,24.6,60.7,6.6,136.3,35,wheat
75,44,60,28.2,75.8,6.5,211.0,82,sugarcane
52,41,48,27.1,72.4,6.2,150.5,51,cotton
67,37,56,28.6,77.9,6.7,148.0,64,groundnut
49,31,38,29.6,63.3,5.6,107.9,31,barley
28,30,20,25.3,80.7,5.8,193.1,67,pulses
53,37,39,29.5,62.4,5.7,105.9,34,barley
29,31,27,24.7,87.0,6.1,216.1,68,pulses
20,34,25,22.3,82.2,6.0,220.0,68,pulses
51,38,32,28.3,55.8,5.5,102.4,35,barley
27,32,25,23.3,81.9,5.6,187.6,76,pulses
51,38,35,26.8,65.0,5.6,101.0,33,barley
59,41,44,29.8,71.6,6.4,133.2,52,cotton
26,28,22,22.7,84.5,6.2,210.6,67,pulses
63,51,40,22.9,66.8,6.8,142.6,40,wheat
52,45,43,26.2,58.5,6.9,134.5,44,wheat
65,52,57,28.2,70.1,6.8,253.5,78,sugarcane
70,40,50,25.5,88.0,6.8,225.5,72,sugarcane
65,49,49,24.5,67.1,7.1,105.5,41,wheat
86,44,55,22.1,84.6,6.2,225.1,80,rice
74,50,61,28.9,76.7,6.7,228.7,82,sugarcane
70,54,42,24.1,61.4,6.8,103.1,44,wheat
84,59,57,22.8,80.1,6.7,185.8,76,rice
41,52,53,30.0,58.9,6.4,97.4,31,millet
79,57,40,23.3,63.4,6.6,183.1,46,maize
55,36,39,25.1,64.6,6.0,89.1,30,barley
57,45,41,28.2,73.2,6.3,149.4,52,cotton
72,33,65,27.7,79.5,6.9,140.7,70,groundnut
73,48,60,27.5,86.4,6.4,264.4,76,sugarcane
63,54,49,24.2,58.4,6.5,147.0,37,wheat
50,38,39,29.2,56.9,5.8,108.0,30,barley
85,52,58,23.5,79.7,6.6,222.7,76,rice
75,58,38,25.3,64.6,6.8,124.1,53,maize
35,52,53,28.6,51.7,6.5,105.7,33,millet
64,47,45,25.4,59.2,6.6,141.4,44,wheat
65,56,44,22.3,68.1,7.2,142.3,44,wheat
75,32,55,28.0,75.0,6.6,160.3,68,groundnut
87,49,59,20.5,82.9,6.2,185.4,75,rice
66,48,48,24.5,57.7,6.6,116.7,38,wheat
69,58,49,22.9,69.7,7.1,136.8,44,wheat
72,51,53,27.1,80.6,6.3,220.9,82,sugarcane
41,49,53,28.4,53.1,6.1,87.7,26,millet
56,40,44,29.6,65.3,6.6,162.2,53,cotton
87,58,37,21.2,63.9,6.7,121.5,58,maize
69,54,56,26.4,73.8,6.3,202.7,77,sugarcane
51,45,43,30.5,70.6,6.7,155.5,60,cotton
68,48,58,28.8,70.4,6.3,228.2,71,sugarcane
72,60,41,24.6,79.7,6.9,146.3,57,maize
97,57,43,25.0,87.4,6.0,246.7,66,rice
71,32,55,27.9,79.1,6.8,152.6,61,groundnut
72,40,61,26.4,73.7,6.6,164.4,64,groundnut
55,49,44,28.4,66.4,6.5,125.4,65,cotton
66,45,47,23.5,67.9,6.7,134.9,38,wheat
80,51,41,21.2,79.5,6.5,160.7,58,maize
54,40,40,29.8,59.2,6.1,80.5,35,barley
73,57,36,23.4,62.6,6.7,183.3,60,maize
45,40,31,29.8,62.1,5.8,102.9,27,barley
73,51,39,23.4,67.6,6.6,159.9,48,maize
47,34,33,27.2,60.0,6.1,88.8,28,barley
100,58,49,21.4,86.3,6.0,220.7,72,rice
59,48,43,22.2,63.4,7.0,142.8,36,wheat
53,44,41,28.0,73.8,6.2,123.0,56,cotton
66,45,43,27.2,60.4,6.7,128.6,45,wheat
54,44,44,28.2,74.8,6.7,129.8,64,cotton
89,43,54,20.1,76.4,6.1,180.6,67,rice
23,27,25,26.0,84.0,5.8,186.3,66,pulses
66,45,57,29.1,83.2,6.6,239.8,81,sugarcane
70,45,47,26.1,66.2,7.0,130.3,44,wheat
52,45,46,29.3,69.9,6.2,177.6,57,cotton
29,28,27,23.3,80.9,5.9,196.3,80,pulses
84,60,48,24.3,88.7,6.7,239.3,61,rice
98,53,60,23.8,76.6,6.7,242.1,61,rice
87,59,44,21.1,78.2,6.9,164.1,48,maize
46,30,36,26.7,64.0,5.5,81.4,26,barley
57,50,44,30.8,71.6,6.6,136.6,50,cotton
56,40,49,30.9,69.6,6.7,162.3,60,cotton
29,34,27,24.5,80.2,5.7,217.4,78,pulses
84,53,51,23.1,84.9,6.2,235.8,70,rice
61,53,50,27.7,56.9,6.8,105.1,43,wheat
56,44,50,30.8,66.6,6.8,178.8,56,cotton
66,30,63,27.1,73.3,6.5,144.7,68,groundnut
76,47,61,25.2,84.9,6.8,289.1,75,sugarcane
98,40,48,24.0,82.5,6.6,180.1,72,rice
81,45,52,24.6,88.0,6.4,246.9,64,rice
45,35,30,26.9,64.4,5.7,88.5,27,barley
94,52,46,23.2,88.8,6.2,227.2,71,rice
68,51,52,25.1,77.2,6.2,252.2,74,sugarcane
81,45,51,22.5,83.2,6.4,211.6,72,rice
70,30,58,27.1,70.4,6.7,177.2,62,groundnut
72,52,43,25.2,72.9,7.0,142.1,52,maize
41,52,53,29.7,54.4,6.0,84.1,29,millet
93,41,57,21.6,83.4,6.4,194.3,64,rice
45,54,45,30.3,50.2,6.2,116.9,34,millet
43,55,54,28.8,55.7,6.3,93.5,33,millet
55,57,50,26.7,63.7,7.1,130.9,43,wheat
70,35,57,27.5,74.7,6.8,156.1,68,groundnut
51,38,30,25.7,63.3,5.9,117.0,34,barley
73,36,61,27.7,72.3,6.8,154.8,57,groundnut
54,37,34,27.2,59.6,6.0,111.5,35,barley
35,50,45,29.9,53.1,6.0,84.2,31,millet
72,55,56,27.4,80.5,6.5,200.4,75,sugarcane
73,55,38,22.2,66.5,6.8,155.1,57,maize
70,52,41,27.0,64.2,7.1,105.1,37,wheat
53,50,40,31.4,66.2,6.7,129.8,62,cotton
38,49,50,29.8,50.5,6.4,89.7,33,millet
74,46,52,25.7,73.9,6.5,254.0,80,sugarcane
80,52,50,26.6,71.7,6.2,259.2,70,sugarcane
100,47,43,22.8,83.9,6.5,198.9,78,rice
30,27,21,23.1,84.6,6.1,230.5,65,pulses
51,36,31,29.1,61.5,5.9,108.7,25,barley
89,57,56,24.2,89.8,6.5,204.4,77,rice
72,30,59,25.4,76.4,6.8,147.9,55,groundnut
76,60,40,21.5,61.8,6.5,191.1,56,maize
40,50,48,30.5,59.0,6.5,102.1,31,millet
26,26,25,23.2,87.1,5.8,225.0,66,pulses
78,51,64,27.9,82.7,6.7,233.1,73,sugarcane
48,38,40,29.2,63.9,6.2,95.0,30,barley
77,54,50,28.6,70.4,6.3,243.4,70,sugarcane
35,53,49,31.2,58.6,6.4,107.8,28,millet
50,40,44,27.3,67.1,6.7,172.6,52,cotton
80,58,42,21.6,71.9,6.7,139.6,59,maize
55,48,49,30.0,72.8,6.6,152.4,61,cotton
87,56,59,24.2,88.4,6.5,248.1,67,rice
77,48,58,26.5,81.2,6.6,230.5,80,sugarcane
66,35,65,29.9,76.2,6.8,156.3,57,groundnut
57,46,44,30.7,68.8,6.6,143.4,61,cotton
60,48,49,31.2,65.0,6.7,135.4,54,cotton
26,29,23,24.8,82.6,6.0,185.4,66,pulses
70,32,61,25.3,73.0,6.5,179.9,65,groundnut
29,30,26,22.5,88.9,5.8,243.9,66,pulses
53,48,47,29.6,74.7,6.5,177.6,65,cotton
81,46,55,22.4,77.7,6.4,216.4,78,rice
73,54,43,23.9,72.2,6.7,166.8,56,maize
73,32,62,26.0,74.8,6.8,175.5,61,groundnut
82,57,39,22.8,69.2,6.7,165.0,52,maize
88,41,55,23.8,88.1,6.0,196.1,60,rice
66,40,54,27.7,81.5,6.3,257.1,78,sugarcane
26,26,30,25.9,89.9,6.1,249.6,69,pulses
83,42,60,20.7,87.2,6.6,186.1,73,rice
53,34,36,27.3,56.8,5.9,96.2,28,barley
75,58,42,25.1,60.4,7.0,143.2,50,maize
50,36,38,27.8,63.0,5.7,113.1,33,barley
50,49,40,30.9,67.8,6.2,149.0,65,cotton
74,51,51,25.4,72.2,6.8,249.6,83,sugarcane
41,53,55,31.8,54.1,6.3,91.7,27,millet
73,55,50,27.9,89.1,6.8,212.9,78,sugarcane
52,34,39,26.6,62.4,5.6,100.7,29,barley
50,33,40,28.4,55.4,6.2,103.6,29,barley
81,55,43,24.5,64.9,7.0,147.9,47,maize
54,34,38,28.8,58.2,5.7,94.0,30,barley
83,44,48,21.0,79.0,6.3,242.7,70,rice
45,54,54,29.0,59.9,6.4,116.7,27,millet
51,33,37,29.3,64.0,6.1,80.1,32,barley
55,50,45,27.6,58.4,6.9,102.8,41,wheat
75,38,63,29.7,73.5,6.6,173.9,63,groundnut
83,50,36,22.4,77.0,6.6,173.7,50,maize
45,37,34,27.7,55.7,6.2,103.9,31,barley
100,58,50,20.3,79.5,6.5,221.3,65,rice
72,36,62,28.0,71.5,6.8,148.3,62,groundnut
88,42,41,21.5,86.4,6.6,210.1,69,rice
28,26,20,25.5,81.9,6.0,203.5,66,pulses
20,34,23,24.0,81.3,5.8,197.9,76,pulses
76,43,59,26.0,84.7,6.6,238.2,79,sugarcane
64,48,42,22.4,58.6,7.0,116.9,35,wheat
52,46,43,29.4,67.6,6.2,166.6,64,cotton
66,32,61,27.1,75.2,6.8,169.0,63,groundnut
21,35,27,22.7,80.1,5.9,237.2,78,pulses
42,54,52,30.0,53.6,6.3,108.3,27,millet
45,33,35,29.7,60.3,6.0,80.5,30,barley
87,42,49,22.4,81.1,6.8,212.6,75,rice
29,27,21,24.9,85.3,6.1,219.3,75,pulses
87,60,35,23.2,79.1,6.6,197.8,54,maize
24,29,28,22.6,82.7,6.0,194.3,76,pulses
78,55,59,26.4,73.2,6.3,264.5,81,sugarcane
60,55,50,23.9,63.3,6.8,106.4,43,wheat
29,33,25,25.2,87.9,6.1,227.1,76,pulses
49,30,36,27.6,57.7,5.5,99.3,35,barley
66,31,58,27.4,75.4,6.9,154.4,64,groundnut
29,32,20,24.6,86.3,5.9,213.4,68,pulses
66,32,63,29.2,78.3,6.6,141.4,55,groundnut
71,33,65,29.2,79.3,6.8,149.4,63,groundnut
75,50,63,26.2,89.2,6.6,239.5,81,sugarcane
29,35,24,23.9,80.6,5.7,189.0,68,pulses
74,37,59,29.5,73.7,6.6,166.2,69,groundnut
54,56,41,25.1,57.3,6.9,111.4,36,wheat
24,25,27,22.3,89.0,5.8,231.5,70,pulses
84,54,37,25.0,79.4,6.5,177.9,59,maize
63,46,41,27.0,59.2,7.0,149.7,35,wheat
85,53,59,21.7,81.2,6.6,240.1,62,rice
60,50,45,27.9,74.3,6.3,171.3,57,cotton
20,33,21,23.0,85.7,5.5,203.2,67,pulses
41,53,49,30.2,59.4,6.2,106.8,31,millet
55,52,46,22.7,60.7,6.8,105.1,39,wheat
66,36,62,28.9,77.0,6.9,144.1,63,groundnut
70,56,43,25.3,62.0,6.6,139.5,56,maize
73,37,58,25.9,76.0,6.8,167.8,59,groundnut
25,26,28,25.9,80.2,6.1,245.3,75,pulses
64,46,47,25.3,61.5,6.9,119.7,42,wheat
20,34,21,25.7,85.5,5.6,233.5,74,pulses
88,56,35,25.6,77.5,6.8,155.5,58,maize
41,51,45,30.9,53.1,6.0,85.8,30,millet
52,31,35,28.5,56.6,5.8,80.8,33,barley
37,53,51,29.4,58.7,6.3,107.5,34,millet
53,49,46,29.3,75.0,6.3,131.0,60,cotton
25,31,22,24.2,86.8,5.6,233.3,79,pulses
65,53,64,25.3,74.4,6.3,244.3,70,sugarcane
55,47,40,29.1,67.4,6.7,135.8,64,cotton
83,50,51,22.8,83.4,6.5,216.9,77,rice
60,59,45,27.3,66.8,6.8,110.1,36,wheat
45,38,37,27.2,58.0,5.9,88.2,31,barley
69,50,64,29.3,82.0,6.9,206.8,72,sugarcane
53,43,43,31.8,66.7,6.4,156.3,64,cotton
80,53,53,27.3,70.6,6.5,296.2,71,sugarcane
50,34,32,25.3,63.1,5.7,91.0,33,barley
55,35,33,27.2,56.1,6.2,115.9,31,barley
60,40,41,27.9,69.0,6.4,134.8,51,cotton
54,44,46,32.0,68.7,6.4,159.9,60,cotton
51,31,31,26.0,57.5,5.9,80.3,27,barley
43,55,48,28.1,59.9,6.2,109.2,35,millet
51,32,30,29.7,59.1,6.2,89.8,32,barley
79,44,61,29.5,86.3,6.9,291.4,70,sugarcane
21,28,24,25.7,84.0,5.8,201.5,65,pulses
53,43,47,29.1,74.2,6.2,157.2,63,cotton
56,58,49,24.8,60.0,7.0,111.9,35,wheat
81,51,38,25.0,75.7,6.6,194.6,51,maize
70,49,56,25.1,73.7,6.2,294.2,73,sugarcane
58,41,47,31.8,71.2,6.8,129.0,52,cotton
91,40,40,21.3,75.3,6.5,206.4,70,rice
54,40,35,26.2,60.9,5.8,96.4,31,barley
75,39,64,27.6,75.7,7.0,150.1,62,groundnut
50,43,49,30.7,71.3,6.4,123.9,57,cotton
50,49,41,27.7,67.5,6.7,162.2,60,cotton
30,33,25,22.7,83.8,5.8,227.3,77,pulses
55,49,43,30.0,71.9,6.4,168.9,57,cotton
70,50,42,24.0,67.3,7.2,138.6,41,wheat
42,49,52,31.5,51.2,6.1,109.1,31,millet
70,57,43,21.1,67.4,6.6,188.9,59,maize
53,36,31,25.3,55.8,5.6,92.2,27,barley
70,52,40,23.8,69.3,7.1,128.4,44,wheat
70,33,60,26.7,78.8,7.0,164.7,69,groundnut
78,50,36,22.1,63.5,7.0,180.5,49,maize
66,33,65,27.4,77.5,6.9,152.9,58,groundnut
52,41,46,30.2,66.7,6.4,148.5,63,cotton
45,51,53,29.4,59.2,6.3,88.8,31,millet
51,47,43,29.9,65.8,6.7,162.9,55,cotton
53,40,40,31.9,67.7,6.7,123.7,52,cotton
73,60,45,24.1,71.6,6.7,199.9,45,maize
88,60,35,21.2,62.0,6.6,160.9,60,maize
72,33,57,30.0,73.3,6.6,152.4,68,groundnut
77,54,54,29.2,74.5,6.8,225.1,78,sugarcane
82,50,39,23.9,63.6,6.8,172.0,47,maize
35,49,48,31.4,59.5,6.0,84.8,32,millet
54,47,41,24.9,68.5,6.9,109.6,45,wheat
51,50,42,24.9,59.1,7.0,116.2,39,wheat
77,45,62,26.0,70.5,6.3,257.7,84,sugarcane
37,48,51,30.4,57.2,6.1,108.3,25,millet
52,58,48,26.5,68.2,6.9,102.9,43,wheat
26,30,26,24.4,81.3,5.9,227.0,71,pulses
74,47,57,25.8,83.7,6.4,227.9,75,sugarcane
38,45,55,28.8,55.0,6.3,88.7,29,millet
64,57,47,25.0,63.6,7.1,124.6,41,wheat
30,26,30,23.5,90.0,5.8,211.7,70,pulses
46,40,37,28.9,63.2,6.1,96.3,33,barley
60,51,43,25.2,66.6,6.7,100.0,44,wheat
29,28,22,25.6,88.1,5.8,216.2,75,pulses
95,43,58,21.8,80.2,6.0,243.8,78,rice
45,38,35,29.2,63.8,5.7,102.3,32,barley
66,35,55,28.9,79.1,6.7,150.6,60,groundnut
68,35,60,27.2,72.6,6.7,177.6,57,groundnut
98,53,56,23.5,89.6,6.7,202.0,62,rice
30,33,28,24.5,84.2,5.8,205.0,80,pulses
75,37,59,29.9,77.0,7.0,152.4,60,groundnut
28,28,21,22.8,84.4,5.6,227.3,71,pulses
46,38,30,27.5,61.1,5.6,108.9,33,barley
48,36,39,26.7,60.8,5.9,111.4,35,barley
74,45,62,29.9,72.2,6.4,226.1,82,sugarcane
89,49,42,24.6,88.9,6.5,239.6,64,rice
81,55,36,25.4,71.9,6.7,136.4,59,maize
66,40,56,28.1,72.1,7.0,170.1,68,groundnut
50,36,39,26.2,59.5,5.7,110.5,34,barley
98,44,54,24.3,85.4,6.2,188.0,68,rice
51,43,46,30.4,67.6,6.4,177.0,53,cotton
68,38,55,27.5,79.8,6.8,146.9,63,groundnut
63,45,43,27.0,63.2,6.5,141.2,35,wheat
45,36,36,27.2,56.7,5.6,116.5,31,barley
58,57,48,27.7,59.0,7.2,112.7,38,wheat
45,45,48,29.2,57.4,6.1,88.2,29,millet
36,46,46,29.9,50.6,6.2,112.6,28,millet
66,56,47,25.5,65.7,6.9,123.3,39,wheat
91,55,44,24.3,76.6,6.4,212.4,61,rice
90,53,48,20.6,81.4,6.5,211.6,79,rice
22,30,26,23.0,86.8,6.1,186.0,66,pulses
45,55,52,28.6,60.0,6.3,95.4,28,millet
90,58,38,24.2,72.8,6.9,151.1,53,maize
21,32,26,23.0,81.8,6.0,201.8,78,pulses
93,49,59,23.3,80.6,6.7,194.5,77,rice
82,59,43,21.3,60.5,6.9,146.0,52,maize
78,45,62,28.3,70.2,6.7,284.7,80,sugarcane
53,46,40,27.9,65.8,6.3,153.1,59,cotton
30,31,25,24.2,80.6,5.6,241.4,73,pulses
52,57,50,26.0,56.0,7.1,131.3,35,wheat
36,50,53,31.5,58.2,6.2,91.2,29,millet
73,47,59,29.7,80.3,6.3,293.4,82,sugarcane
54,40,37,27.9,62.0,6.0,99.2,32,barley
68,41,61,26.8,76.4,6.7,216.3,70,sugarcane
45,47,46,28.7,50.1,6.4,91.5,34,millet
84,41,52,23.1,83.0,6.5,214.3,65,rice
24,31,29,24.3,85.9,5.8,231.2,75,pulses
79,59,37,21.6,74.5,6.6,120.8,48,maize
54,31,38,25.9,56.5,5.7,108.9,31,barley
73,43,59,28.6,88.2,6.8,203.7,81,sugarcane
73,38,65,26.5,70.7,6.7,173.4,62,groundnut
86,57,42,24.4,73.9,6.7,123.4,48,maize
100,45,46,21.9,77.5,6.4,186.3,68,rice
73,31,57,27.0,79.3,6.7,158.7,67,groundnut
71,37,63,26.5,79.9,6.9,163.3,61,groundnut
53,34,30,28.8,62.1,5.9,97.6,28,barley
68,30,57,25.2,78.2,6.6,162.9,61,groundnut
56,59,46,23.3,65.2,7.1,132.9,42,wheat
24,28,26,25.2,81.3,6.1,233.7,76,pulses
66,36,58,27.1,73.6,6.7,144.5,56,groundnut
52,33,40,28.3,56.3,5.7,89.5,28,barley
52,49,40,29.3,74.6,6.2,126.9,63,cotton
25,35,26,24.5,84.2,5.6,202.2,75,pulses
52,36,30,27.2,63.0,6.1,94.0,26,barley
69,49,43,24.7,61.6,7.0,120.8,38,wheat
80,45,55,27.9,78.8,6.4,296.0,80,sugarcane
73,57,42,22.4,62.8,6.7,175.6,54,maize
22,26,22,24.9,80.8,5.9,244.4,77,pulses
60,44,42,29.2,70.2,6.5,157.8,53,cotton
51,53,42,27.9,55.0,7.1,113.2,41,wheat
55,49,40,29.8,69.5,6.6,156.4,58,cotton
75,34,62,29.4,76.8,6.7,163.1,69,groundnut
29,35,30,23.0,81.3,5.5,214.2,79,pulses
79,56,43,21.3,70.7,6.5,128.2,49,maize
28,30,20,24.3,80.1,6.1,238.5,79,pulses
66,31,64,25.2,75.8,6.9,175.8,65,groundnut
61,59,49,22.7,57.7,6.7,123.2,44,wheat
85,59,42,25.2,69.2,6.8,175.6,54,maize
21,26,21,24.6,86.7,5.7,232.7,72,pulses
29,27,30,22.1,83.9,5.7,230.6,78,pulses
63,60,46,22.2,55.8,7.2,118.4,35,wheat
55,42,41,28.2,67.5,6.5,173.7,54,cotton
50,43,47,30.4,70.7,6.4,168.5,61,cotton
38,53,54,31.8,52.3,6.1,109.6,25,millet
39,46,54,28.2,50.1,6.4,99.6,35,millet
29,27,21,23.4,88.8,5.9,180.7,67,pulses
51,44,46,29.1,74.4,6.6,163.4,52,cotton
95,55,46,21.1,82.0,6.7,180.1,66,rice
75,38,57,26.9,73.4,6.6,173.3,64,groundnut
97,41,52,22.1,76.5,6.4,183.4,60,rice
74,31,64,27.0,73.4,6.6,170.5,64,groundnut
67,34,65,26.4,74.0,6.5,168.5,59,groundnut
40,51,46,31.5,55.6,6.3,98.5,26,millet
68,48,40,22.1,57.8,6.7,144.7,40,wheat
70,57,43,23.4,64.5,6.7,127.8,54,maize
82,52,40,21.3,69.6,6.7,138.5,57,maize
60,52,41,24.1,56.6,7.0,118.1,38,wheat
79,53,42,25.8,66.9,6.9,146.8,48,maize
70,53,41,22.9,73.5,6.5,189.1,49,maize
71,53,37,23.0,61.3,6.9,160.6,47,maize
70,54,44,24.3,78.4,7.0,123.8,55,maize
100,47,57,24.5,78.9,6.7,217.5,62,rice
84,56,42,23.4,87.9,6.3,223.9,78,rice
51,40,47,31.0,66.0,6.5,162.2,60,cotton
64,48,47,25.9,64.7,6.8,137.1,36,wheat
50,42,43,30.8,71.5,6.5,149.2,50,cotton
74,42,55,28.2,84.0,6.3,285.8,77,sugarcane
68,36,63,27.2,75.0,6.6,159.9,59,groundnut
79,48,63,25.4,76.0,6.8,299.1,74,sugarcane
58,45,42,29.2,68.9,6.5,123.9,50,cotton
43,47,51,30.2,53.8,6.0,114.0,29,millet
37,47,55,31.7,50.6,6.1,88.8,33,millet
100,58,56,24.4,86.2,6.4,195.3,67,rice
75,46,50,29.6,83.8,6.6,202.8,83,sugarcane
64,54,45,27.5,68.3,6.7,142.2,38,wheat
50,37,34,28.0,63.4,5.8,105.6,29,barley
39,55,51,29.4,53.0,6.1,115.8,31,millet
37,53,46,28.5,54.7,6.3,115.2,35,millet
25,25,24,23.6,83.9,6.0,215.1,79,pulses
36,55,53,28.4,52.2,6.2,85.8,30,millet
28,27,25,25.6,88.2,6.2,203.3,67,pulses
94,41,49,21.5,89.1,6.6,236.3,71,rice
